Fecha,Dia_semana,Dia_mes,Hora,Tipo,Cantidad,Producto,Clave_producto,Folio,Cliente,Caja,Usuario,Precio_unitario,Precio_producto,Total,Efectivo,Cheque,Crédito,Transferencia,Vales,Tarjeta,Anticipo,SICAR Pagos
01/11/2020,1,1,12,PZA,1,KOMBUCHITA JENGIBRE,[7500464022219],219,Público en General,Caja 1,admin,39,39,39,39,0,0,0,0,0,0,0
01/11/2020,1,1,12,PZA,1,KOMBUCHITA JAMAICA,[7500464022226],220,Público en General,Caja 1,admin,39,39,39,0,0,0,0,0,39,0,0
01/11/2020,1,1,12,PZA,1,MAIZ INFLADO,[GALBIS52766],221,Público en General,Caja 1,admin,30,30,30,0,0,0,0,0,30,0,0
01/11/2020,1,1,14,PZA,1,QUESO NAVARRO MANCHEGO 1 KG,[7503004748204],222,Público en General,Caja 1,admin,155,155,422,422,0,0,0,0,0,0,0
01/11/2020,1,1,14,PZA,1,ADEREZO DE MOSTAZA,[7500326039348],222,Público en General,Caja 1,admin,99,99,422,422,0,0,0,0,0,0,0
01/11/2020,1,1,14,PZA,1,MAIZ INFLADO,[GALBIS52766],222,Público en General,Caja 1,admin,30,30,422,422,0,0,0,0,0,0,0
01/11/2020,1,1,14,PZA,1,CHILITO STEVIA,[7500462965945],222,Público en General,Caja 1,admin,68,68,422,422,0,0,0,0,0,0,0
01/11/2020,1,1,14,PZA,2,OBLEAS TIACHI BISCOTTI,[OBLTIA24339],222,Público en General,Caja 1,admin,35,70,422,422,0,0,0,0,0,0,0
01/11/2020,1,1,14,PZA,1,PASAS CUBIERTAS DE CHOCOLATE,[7502265252284],223,Público en General,Caja 1,admin,220,220,220,220,0,0,0,0,0,0,0
01/11/2020,1,1,15,PZA,1,CAJA DE MIL HOJAS,[GALBIS55516],224,Público en General,Caja 1,admin,150,150,150,0,0,0,150,0,0,0,0
02/11/2020,2,2,10,PZA,1,TORTILLA MAIZ MANO CHICA,[TORMAN29863],225,Público en General,Caja 1,admin,16,16,144.14,144.14,0,0,0,0,0,0,0
02/11/2020,2,2,10,PZA,3,CHILAQUILES CUADRO CHICO TOTOFAST,[7503010924036],225,Público en General,Caja 1,admin,25,75,144.14,144.14,0,0,0,0,0,0,0
02/11/2020,2,2,10,KG,0.105,SELVA NEGRA,[EMBGEN17604],225,Público en General,Caja 1,admin,188,19.74,144.14,144.14,0,0,0,0,0,0,0
02/11/2020,2,2,10,KG,0.1,LOMO CANADIENSE,[EMBGEN81202],225,Público en General,Caja 1,admin,188,18.8,144.14,144.14,0,0,0,0,0,0,0
02/11/2020,2,2,10,KG,0.105,QUESO DE PUERCO,[EMBGEN70751],225,Público en General,Caja 1,admin,139,14.6,144.14,144.14,0,0,0,0,0,0,0
02/11/2020,2,2,11,PZA,1,TORTILLAS MAIZ A MANO GRANDE,[TORMAN96612],226,Público en General,Caja 1,admin,15,15,241,0,0,0,0,0,241,0,0
02/11/2020,2,2,11,PZA,1,LENGUA EN SALSA VERDE TATEMADA AL,[COMAL 42266],226,Público en General,Caja 1,admin,126,126,241,0,0,0,0,0,241,0,0
02/11/2020,2,2,11,PZA,1,CHICHARRON EN SALSA VERDE 1/2 KG AL,[COMAL 62341],226,Público en General,Caja 1,admin,100,100,241,0,0,0,0,0,241,0,0
02/11/2020,2,2,11,PZA,2,PAN DE MUERTO LORE,[REPLOR86942],227,Público en General,Caja 1,admin,20,40,40,40,0,0,0,0,0,0,0
02/11/2020,2,2,11,PZA,7,PAN DE MUERTO LORE,[REPLOR86942],228,Público en General,Caja 1,admin,20,140,140,140,0,0,0,0,0,0,0
02/11/2020,2,2,12,PZA,1,CHAPATA,[PANRUS62454],229,Público en General,Caja 1,admin,15,15,205.41,205.41,0,0,0,0,0,0,0
02/11/2020,2,2,12,KG,0.2,LOMO RELLENO,[EMBGEN21208],229,Público en General,Caja 1,admin,199,39.8,205.41,205.41,0,0,0,0,0,0,0
02/11/2020,2,2,12,KG,0.185,JAMON YORK,[EMBGEN58802],229,Público en General,Caja 1,admin,182,33.67,205.41,205.41,0,0,0,0,0,0,0
02/11/2020,2,2,12,PZA,1,DASAVENA GRANOLA LIGERA 340GR,[7503016385060],229,Público en General,Caja 1,admin,94,94,205.41,205.41,0,0,0,0,0,0,0
02/11/2020,2,2,12,KG,0.165,QUESO DE PUERCO,[EMBGEN70751],229,Público en General,Caja 1,admin,139,22.94,205.41,205.41,0,0,0,0,0,0,0
02/11/2020,2,2,12,PZA,1,ACEITE DE OLIVA ARBEQUINA,[OLIACE82299],230,Público en General,Caja 1,admin,280,280,813.11,0,0,0,0,0,813.11,0,0
02/11/2020,2,2,12,PZA,1,BALSAMICO BLANCO MIEL JENGIBRE,[OLIBAL56485],230,Público en General,Caja 1,admin,280,280,813.11,0,0,0,0,0,813.11,0,0
02/11/2020,2,2,12,KG,0.505,QUESO GOUDA CHILENO,[SINSIN31382],230,Público en General,Caja 1,admin,170,85.85,813.11,0,0,0,0,0,813.11,0,0
02/11/2020,2,2,12,KG,0.505,QUESO MOZARELLA DAIRY SELECT,[QUEIMP87199],230,Público en General,Caja 1,admin,151,76.26,813.11,0,0,0,0,0,813.11,0,0
02/11/2020,2,2,12,KG,0.5,JAMON YORK,[EMBGEN58802],230,Público en General,Caja 1,admin,182,91,813.11,0,0,0,0,0,813.11,0,0
02/11/2020,2,2,12,PZA,1,YOGURT CON SPLENDA,[YOGNAT71299],231,Público en General,Caja 1,admin,41,41,41,41,0,0,0,0,0,0,0
02/11/2020,2,2,12,KG,0.125,JAMON SERRANO,[EMBGEN68741],232,Público en General,Caja 1,admin,435,54.38,164.12,164.12,0,0,0,0,0,0,0
02/11/2020,2,2,12,KG,0.7,PANELA FRANCISCO,[LACFRA53179],232,Público en General,Caja 1,admin,95,66.5,164.12,164.12,0,0,0,0,0,0,0
02/11/2020,2,2,12,KG,0.11,LOMO CANADIENSE,[EMBGEN81202],232,Público en General,Caja 1,admin,188,20.68,164.12,164.12,0,0,0,0,0,0,0
02/11/2020,2,2,12,KG,0.12,SELVA NEGRA,[EMBGEN17604],232,Público en General,Caja 1,admin,188,22.56,164.12,164.12,0,0,0,0,0,0,0
02/11/2020,2,2,14,PZA,1,BROWNIES FER MTZ,[POSFER28400],233,Público en General,Caja 1,admin,14,14,14,14,0,0,0,0,0,0,0
02/11/2020,2,2,14,PZA,1,PAPAS ARTESANALES TREJOS CH 60 GR,[BOTPAP30077],234,Público en General,Caja 1,admin,15,15,15,15,0,0,0,0,0,0,0
02/11/2020,2,2,14,PZA,2,PANINI JAMÓN SERRANO,[SINSIN89538],235,Público en General,Caja 1,admin,80,160,160,160,0,0,0,0,0,0,0
02/11/2020,2,2,16,PZA,1,CHIPS GDE,[BOTCOM38829],236,Público en General,Caja 1,admin,56,56,56,0,0,0,0,0,56,0,0
02/11/2020,2,2,17,PZA,1,OBLEAS TIACHI BISCOTTI,[OBLTIA24339],237,Público en General,Caja 1,admin,35,35,238.96,0,0,0,0,0,238.96,0,0
02/11/2020,2,2,17,PZA,4,PAN DE MUERTO LORE,[REPLOR86942],237,Público en General,Caja 1,admin,20,80,238.96,0,0,0,0,0,238.96,0,0
02/11/2020,2,2,17,PZA,1,HUEVOS DE LIBRE PASTOREO 12,[COMHUE73799],237,Público en General,Caja 1,admin,65,65,238.96,0,0,0,0,0,238.96,0,0
02/11/2020,2,2,17,KG,0.11,QUESO GOUDA CHILENO,[SINSIN31382],237,Público en General,Caja 1,admin,170,18.7,238.96,0,0,0,0,0,238.96,0,0
02/11/2020,2,2,17,KG,0.11,JAMON VIRGINIA,[EMBGEN75114],237,Público en General,Caja 1,admin,192,21.12,238.96,0,0,0,0,0,238.96,0,0
02/11/2020,2,2,17,KG,0.11,PASTEL PIMIENTO,[EMBGEN59186],237,Público en General,Caja 1,admin,174,19.14,238.96,0,0,0,0,0,238.96,0,0
02/11/2020,2,2,18,KG,0.25,JAMON VIRGINIA,[EMBGEN75114],238,Público en General,Caja 1,admin,192,48,429.5,429.5,0,0,0,0,0,0,0
02/11/2020,2,2,18,PZA,1,BROWNIES FER MTZ,[POSFER28400],238,Público en General,Caja 1,admin,14,14,429.5,429.5,0,0,0,0,0,0,0
02/11/2020,2,2,18,PZA,1,COCA-COLA LIGHT 500 ML,[BEBCOC13925],238,Público en General,Caja 1,admin,18,18,429.5,429.5,0,0,0,0,0,0,0
02/11/2020,2,2,18,KG,0.25,SELVA NEGRA,[EMBGEN17604],238,Público en General,Caja 1,admin,188,47,429.5,429.5,0,0,0,0,0,0,0
02/11/2020,2,2,18,KG,0.5,PECHUGA PAVO AHUMADA,[EMBGEN14709],238,Público en General,Caja 1,admin,271,135.5,429.5,429.5,0,0,0,0,0,0,0
02/11/2020,2,2,18,PZA,2,BAGUETTE SUAVE,[PANRUS91930],238,Público en General,Caja 1,admin,25,50,429.5,429.5,0,0,0,0,0,0,0
02/11/2020,2,2,18,PZA,1,CHIMICHURRI GOURMET GRANDE,[7500462889807],238,Público en General,Caja 1,admin,75,75,429.5,429.5,0,0,0,0,0,0,0
02/11/2020,2,2,18,PZA,2,TOSTADA NUTRISUIZ,[25589580],238,Público en General,Caja 1,admin,21,42,429.5,429.5,0,0,0,0,0,0,0
02/11/2020,2,2,19,PZA,1,BAGUETTE 7 SEMILLAS,[PANRUS58628],239,Público en General,Caja 1,admin,28,28,171.47,171.47,0,0,0,0,0,0,0
02/11/2020,2,2,19,KG,0.1,QUESO GOUDA HOLANDES,[QUEIMP43334],239,Público en General,Caja 1,admin,203,20.3,171.47,171.47,0,0,0,0,0,0,0
02/11/2020,2,2,19,KG,0.115,PASTEL PIMIENTO,[EMBGEN59186],239,Público en General,Caja 1,admin,174,20.01,171.47,171.47,0,0,0,0,0,0,0
02/11/2020,2,2,19,KG,0.105,SALAMI,[EMBGEN77994],239,Público en General,Caja 1,admin,309,32.45,171.47,171.47,0,0,0,0,0,0,0
02/11/2020,2,2,19,KG,0.115,JAMON SERRANO,[EMBGEN68741],239,Público en General,Caja 1,admin,435,50.03,171.47,171.47,0,0,0,0,0,0,0
02/11/2020,2,2,19,KG,0.11,SELVA NEGRA,[EMBGEN17604],239,Público en General,Caja 1,admin,188,20.68,171.47,171.47,0,0,0,0,0,0,0
02/11/2020,2,2,19,PZA,3,PAN DE MUERTO LORE,[REPLOR86942],240,Público en General,Caja 1,admin,20,60,60,60,0,0,0,0,0,0,0
03/11/2020,3,3,11,PZA,1,CAJA DE MIL HOJAS,[GALBIS55516],241,Público en General,Caja 1,admin,150,150,150,0,0,0,0,0,150,0,0
03/11/2020,3,3,11,PZA,1,CARNE SECA HERMAN,[BOTCAR49935],242,Público en General,Caja 1,admin,137,137,137,137,0,0,0,0,0,0,0
03/11/2020,3,3,11,PZA,1,BAGUETTE SUAVE,[PANRUS91930],243,Público en General,Caja 1,admin,25,25,274.79,274.79,0,0,0,0,0,0,0
03/11/2020,3,3,11,PZA,1,OBLEAS TIACHI BISCOTTI,[OBLTIA24339],243,Público en General,Caja 1,admin,35,35,274.79,274.79,0,0,0,0,0,0,0
03/11/2020,3,3,11,PZA,1,QUESO CAMEMBERT,[7503012771010],243,Público en General,Caja 1,admin,81,81,274.79,274.79,0,0,0,0,0,0,0
03/11/2020,3,3,11,KG,0.25,PECHUGA PAVO AHUMADA,[EMBGEN14709],243,Público en General,Caja 1,admin,271,67.75,274.79,274.79,0,0,0,0,0,0,0
03/11/2020,3,3,11,KG,0.26,PECHUGA PAVO NATURAL,[EMBGEN81440],243,Público en General,Caja 1,admin,254,66.04,274.79,274.79,0,0,0,0,0,0,0
03/11/2020,3,3,11,PZA,2,PAN DE MUERTO LORE,[REPLOR86942],244,Público en General,Caja 1,admin,20,40,40,40,0,0,0,0,0,0,0
03/11/2020,3,3,12,PZA,1,CARNE SECA HERMAN,[BOTCAR49935],245,Público en General,Caja 1,admin,137,137,137,137,0,0,0,0,0,0,0
03/11/2020,3,3,12,KG,0.145,QUESO DE PUERCO,[EMBGEN70751],246,Público en General,Caja 1,admin,139,20.16,20.16,20.16,0,0,0,0,0,0,0
03/11/2020,3,3,13,PZA,2,OBLEAS TIACHI BISCOTTI,[OBLTIA24339],247,Público en General,Caja 1,admin,35,70,70,70,0,0,0,0,0,0,0
03/11/2020,3,3,13,PZA,1,BAGUETTE SUAVE,[PANRUS91930],248,Público en General,Caja 1,admin,25,25,25,25,0,0,0,0,0,0,0
03/11/2020,3,3,14,PZA,1,BROWNIES FER MTZ,[POSFER28400],249,Público en General,Caja 1,admin,14,14,14,14,0,0,0,0,0,0,0
03/11/2020,3,3,17,PZA,1,PAN PARA TAPAS,[SINSIN67823],250,Público en General,Caja 1,admin,50,50,558.07,0,0,0,0,0,558.07,0,0
03/11/2020,3,3,17,PZA,1,QUESO DE CABRA CENIZAS QUESART,[7503012771065],250,Público en General,Caja 1,admin,56,56,558.07,0,0,0,0,0,558.07,0,0
03/11/2020,3,3,17,KG,0.305,PECHUGA PAVO NATURAL,[EMBGEN81440],250,Público en General,Caja 1,admin,254,77.47,558.07,0,0,0,0,0,558.07,0,0
03/11/2020,3,3,17,PZA,1,CHAROLA MEDIANA 1KG,[EMBGEN38358],250,Público en General,Caja 1,admin,320,320,558.07,0,0,0,0,0,558.07,0,0
03/11/2020,3,3,17,KG,0.3,JAMON YORK,[EMBGEN58802],250,Público en General,Caja 1,admin,182,54.6,558.07,0,0,0,0,0,558.07,0,0
03/11/2020,3,3,17,KG,0.32,JAMON YORK,[EMBGEN58802],251,Público en General,Caja 1,admin,182,58.24,92.4,92.4,0,0,0,0,0,0,0
03/11/2020,3,3,17,KG,0.345,CHORIZO ESPAÑOL,[EMBGEN78796],251,Público en General,Caja 1,admin,99,34.16,92.4,92.4,0,0,0,0,0,0,0
03/11/2020,3,3,18,PZA,3,CHAPATA,[PANRUS62454],252,Público en General,Caja 1,admin,15,45,82.31,82.31,0,0,0,0,0,0,0
03/11/2020,3,3,18,KG,0.205,JAMON YORK,[EMBGEN58802],252,Público en General,Caja 1,admin,182,37.31,82.31,82.31,0,0,0,0,0,0,0
03/11/2020,3,3,18,KG,0.25,QUESO QUESART MORBIERE,[QUEQUE99572],253,Público en General,Caja 1,admin,427,106.75,257.5,0,0,0,0,0,257.5,0,0
03/11/2020,3,3,18,KG,0.205,ROAST BEEF/CORNED BEEF,[EMBGEN49865],253,Público en General,Caja 1,admin,287,58.84,257.5,0,0,0,0,0,257.5,0,0
03/11/2020,3,3,18,KG,0.505,JAMON YORK,[EMBGEN58802],253,Público en General,Caja 1,admin,182,91.91,257.5,0,0,0,0,0,257.5,0,0
03/11/2020,3,3,18,PZA,1,CHAPATA,[PANRUS62454],254,Público en General,Caja 1,admin,15,15,208.15,208.15,0,0,0,0,0,0,0
03/11/2020,3,3,18,KG,0.365,SALCHICHA DESAYUNO,[EMBGEN47609],254,Público en General,Caja 1,admin,149,54.39,208.15,208.15,0,0,0,0,0,0,0
03/11/2020,3,3,18,PZA,1,CHIMICHURRI GOURMET GRANDE,[7500462889807],254,Público en General,Caja 1,admin,75,75,208.15,208.15,0,0,0,0,0,0,0
03/11/2020,3,3,18,KG,0.14,PECHUGA PAVO NATURAL,[EMBGEN81440],254,Público en General,Caja 1,admin,254,35.56,208.15,208.15,0,0,0,0,0,0,0
03/11/2020,3,3,18,KG,0.15,LOMO CANADIENSE,[EMBGEN81202],254,Público en General,Caja 1,admin,188,28.2,208.15,208.15,0,0,0,0,0,0,0
03/11/2020,3,3,18,KG,0.245,QUESO OAXACA DON TOM,[LACDON71980],255,Público en General,Caja 1,admin,125,30.63,137.08,0,0,0,0,0,137.08,0,0
03/11/2020,3,3,18,KG,0.31,PANELA FRANCISCO,[LACFRA53179],255,Público en General,Caja 1,admin,95,29.45,137.08,0,0,0,0,0,137.08,0,0
03/11/2020,3,3,18,PZA,1,CREPAS,[CREGEN22951],255,Público en General,Caja 1,admin,77,77,137.08,0,0,0,0,0,137.08,0,0
03/11/2020,3,3,19,KG,0.24,SELVA NEGRA,[EMBGEN17604],256,Público en General,Caja 1,admin,188,45.12,45.12,0,0,0,45.12,0,0,0,0
04/11/2020,4,4,10,PZA,1,POLVORONES ANA CECILIA 150 GR,[GALANA65228],257,Público en General,Caja 1,admin,56,56,336.61,336.61,0,0,0,0,0,0,0
04/11/2020,4,4,10,KG,0.675,PANELA FRANCISCO,[LACFRA53179],257,Público en General,Caja 1,admin,95,64.13,336.61,336.61,0,0,0,0,0,0,0
04/11/2020,4,4,10,PZA,1,LENGUA EN SALSA VERDE TATEMADA AL,[COMAL 42266],257,Público en General,Caja 1,admin,126,126,336.61,336.61,0,0,0,0,0,0,0
04/11/2020,4,4,10,KG,0.52,PASTEL PIMIENTO,[EMBGEN59186],257,Público en General,Caja 1,admin,174,90.48,336.61,336.61,0,0,0,0,0,0,0
04/11/2020,4,4,12,PZA,1,CACAHUATE GDE COMALLI,[BOTCOM97109],258,Público en General,Caja 1,admin,35,35,35,35,0,0,0,0,0,0,0
04/11/2020,4,4,13,KG,0.205,PATHE,[EMBGEN97440],259,Público en General,Caja 1,admin,159,32.6,120.4,0,0,0,0,0,120.4,0,0
04/11/2020,4,4,13,KG,0.28,QUESO DE PUERCO,[EMBGEN70751],259,Público en General,Caja 1,admin,139,38.92,120.4,0,0,0,0,0,120.4,0,0
04/11/2020,4,4,13,KG,0.26,LOMO CANADIENSE,[EMBGEN81202],259,Público en General,Caja 1,admin,188,48.88,120.4,0,0,0,0,0,120.4,0,0
04/11/2020,4,4,13,PZA,1,CARNE SECA HERMAN,[BOTCAR49935],260,Público en General,Caja 1,admin,137,137,252.29,0,0,0,0,0,252.29,0,0
04/11/2020,4,4,13,PZA,0.27,QUESO QUESART RACLETTE,[QUEQUE23970],260,Público en General,Caja 1,admin,427,115.29,252.29,0,0,0,0,0,252.29,0,0
04/11/2020,4,4,13,PZA,1,BROWNIES FER MTZ,[POSFER28400],261,Público en General,Caja 1,admin,14,14,14,14,0,0,0,0,0,0,0
04/11/2020,4,4,14,PZA,1,NUEZ WESTER 250 GRS PREMIER,[SINSIN51423],262,Público en General,Caja 1,admin,95,95,405.71,405.71,0,0,0,0,0,0,0
04/11/2020,4,4,14,KG,0.305,ROAST BEEF/CORNED BEEF,[EMBGEN49865],262,Público en General,Caja 1,admin,287,87.54,405.71,405.71,0,0,0,0,0,0,0
